 Stripped Gaussian log fixture — Sofia example.
 Original file: F430_Mn3.log
 Contains only: route, charge/multiplicity, last 'Standard orientation' block, termination.
 The full DFT output (SCF iterations, gradients, energies) has been removed.

 ----------------------------------------------------------------------
 # opt ub3lyp scrf=(cpcm,solvent=water) pop=full def2svp empiricaldispe
 rsion=gd3 scf=maxcycle=500
 ----------------------------------------------------------------------
 1/14=-1,18=20,19=15,26=3,38=1/1,3;
 2/9=110,12=2,17=6,18=5,40=1/2;
 ----------------------------------------------------------------------
 Charge =  0 Multiplicity = 3

                          Standard orientation:                         
 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1         25           0        0.011716   -0.003274   -0.307578
      2          7           0        1.131283    1.653079   -0.618510
      3          6           0       -0.245192    3.023092    0.849658
      4          6           0        0.975986    2.763800    0.023991
      5          6           0        2.043454    3.787160   -0.256727
      6          6           0        3.111687    2.949729   -0.973670
      7          6           0        2.307723    1.750861   -1.521396
      8          7           0        1.674621   -1.077096   -0.290709
      9          6           0        3.074726    0.431278   -1.652344
     10          6           0        3.003404   -0.483778   -0.422767
     11          6           0        4.029585   -1.656948   -0.491640
     12          6           0        3.236719   -2.826897    0.110363
     13          6           0        1.793510   -2.398944   -0.043123
     14          7           0        3.421983    0.194683    0.812981
     15          6           0        4.632413   -0.168552    1.312103
     16          8           0        5.146705    0.254933    2.336959
     17          6           0        5.229078   -1.182281    0.334915
     18          7           0       -1.153103   -1.675018   -0.088886
     19          6           0        0.720177   -3.276751    0.091743
     20          6           0       -0.633646   -2.935209    0.041894
     21          6           0       -1.737092   -3.957314    0.201322
     22          6           0       -3.010825   -3.144710   -0.066433
     23          6           0       -2.516061   -1.707728   -0.097449
     24          7           0       -1.592430    1.124838   -0.065705
     25          6           0       -3.374533   -0.563437   -0.090341
     26          6           0       -5.067218    1.629431    0.860225
     27          6           0       -5.734811    0.477835    0.118394
     28          6           0       -4.832724   -0.738370   -0.123177
     29          8           0       -5.395065   -1.814073   -0.353972
     30          6           0       -2.872540    0.763843   -0.020184
     31          6           0       -3.783024    1.973244    0.125046
     32          6           0       -2.826253    2.992176    0.745871
     33          6           0       -1.502227    2.594888    0.088741
     34          1           0       -0.300697    4.093798    1.095255
     35          1           0        2.816657    0.848963    1.296683
     36          1           0        5.754204   -1.979609    0.879970
     37          1           0        5.975516   -0.655953   -0.283177
     38          1           0       -5.736515    2.502916    0.921358
     39          1           0       -4.826461    1.326904    1.894729
     40          1           0       -6.076292    0.823649   -0.875663
     41          1           0       -6.630975    0.102077    0.635441
     42          1           0        2.387017    4.288940    0.661398
     43          1           0        3.635623    3.491927   -1.772822
     44          1           0        3.473909   -2.950445    1.183380
     45          1           0       -4.049185    2.319095   -0.895152
     46          1           0       -0.188802    2.469992    1.803832
     47          1           0        1.611019    4.572800   -0.904648
     48          1           0        3.865382    2.596105   -0.254529
     49          1           0        1.898837    2.012666   -2.512829
     50          1           0        4.291606   -1.869093   -1.537489
     51          1           0        3.450460   -3.792179   -0.373150
     52          1           0       -3.798388   -3.292823    0.683691
     53          1           0       -3.482189   -3.397239   -1.030439
     54          1           0       -1.609975   -4.812572   -0.481264
     55          1           0       -1.721371   -4.371017    1.226565
     56          1           0       -2.764987    2.836663    1.837161
     57          1           0       -3.105244    4.038969    0.557184
     58          1           0        4.128300    0.662961   -1.877731
     59          1           0        2.685152   -0.153897   -2.498296
     60          1           0       -1.451719    3.051928   -0.920026
     61          1           0        0.952713   -4.332486    0.251825
 ---------------------------------------------------------------------

 Normal termination of Gaussian 09 at Fri Feb  7 19:16:15 2025.
