 Stripped Gaussian log fixture — Sofia example.
 Original file: F430_Ni2.log
 Contains only: route, charge/multiplicity, last 'Standard orientation' block, termination.
 The full DFT output (SCF iterations, gradients, energies) has been removed.

 ----------------------------------------------------------------------
 # opt ub3lyp scrf=(cpcm,solvent=water) pop=full def2svp empiricaldispe
 rsion=gd3 scf=maxcycle=500
 ----------------------------------------------------------------------
 1/14=-1,18=20,19=15,26=3,38=1/1,3;
 2/9=110,12=2,17=6,18=5,40=1/2;
 ----------------------------------------------------------------------
 Charge =  0 Multiplicity = 2

                          Standard orientation:                         
 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1         28           0        0.050459    0.117014   -0.087416
      2          7           0        1.037008    2.014820    0.135259
      3          6           0       -0.993109    3.318757    0.492435
      4          6           0        0.470384    3.162777    0.254387
      5          6           0        1.408245    4.343266    0.145898
      6          6           0        2.641581    3.689281   -0.484243
      7          6           0        2.495057    2.231270   -0.019845
      8          7           0        1.797815   -0.838803   -0.373417
      9          6           0        3.140831    1.192639   -0.911454
     10          6           0        3.128839   -0.215407   -0.318031
     11          6           0        4.130130   -1.185793   -1.010889
     12          6           0        3.393827   -2.525340   -0.900985
     13          6           0        1.958141   -2.124543   -0.628285
     14          7           0        3.637898   -0.235132    1.060195
     15          6           0        4.900377   -0.718885    1.218493
     16          8           0        5.503740   -0.824089    2.274862
     17          6           0        5.409833   -1.084873   -0.176056
     18          7           0       -0.991661   -1.708112   -0.108383
     19          6           0        0.947019   -3.115756   -0.594452
     20          6           0       -0.382663   -2.919792   -0.306952
     21          6           0       -1.368750   -4.062570   -0.219981
     22          6           0       -2.643104   -3.374759    0.267852
     23          6           0       -2.310564   -1.897676    0.129878
     24          7           0       -1.742524    1.034339   -0.160270
     25          6           0       -3.275942   -0.869430    0.155131
     26          6           0       -5.312229    1.277765    0.321144
     27          6           0       -5.767039   -0.165519    0.152285
     28          6           0       -4.684463   -1.202704    0.446208
     29          8           0       -5.046514   -2.291658    0.895341
     30          6           0       -2.942303    0.505778   -0.134118
     31          6           0       -4.043387    1.496110   -0.491731
     32          6           0       -3.342402    2.838941   -0.319111
     33          6           0       -1.853308    2.480866   -0.452026
     34          1           0       -1.270520    4.378130    0.386527
     35          1           0        3.075098    0.060004    1.851089
     36          1           0        6.009441   -2.005193   -0.140007
     37          1           0        6.068396   -0.272061   -0.525039
     38          1           0       -6.101515    1.979081    0.006126
     39          1           0       -5.101063    1.484724    1.385338
     40          1           0       -6.078368   -0.334063   -0.896283
     41          1           0       -6.633105   -0.413975    0.782736
     42          1           0        1.610351    4.733888    1.161105
     43          1           0        2.575179    3.736760   -1.584052
     44          1           0        3.768158   -3.132564   -0.057791
     45          1           0       -4.282033    1.326131   -1.560344
     46          1           0       -1.226483    3.024683    1.531307
     47          1           0        0.970525    5.169692   -0.434459
     48          1           0        3.597176    4.136579   -0.177621
     49          1           0        2.935841    2.141251    0.989640
     50          1           0        4.275321   -0.900199   -2.061804
     51          1           0        3.479614   -3.151845   -1.801774
     52          1           0       -2.875236   -3.598396    1.320652
     53          1           0       -3.545770   -3.646359   -0.292309
     54          1           0       -1.504700   -4.514947   -1.217165
     55          1           0       -1.007165   -4.860661    0.445623
     56          1           0       -3.540671    3.231429    0.692447
     57          1           0       -3.661810    3.601427   -1.043200
     58          1           0        4.189150    1.488518   -1.080143
     59          1           0        2.638601    1.167860   -1.891764
     60          1           0       -1.501403    2.646661   -1.487112
     61          1           0        1.266570   -4.143188   -0.782689
 ---------------------------------------------------------------------

 Normal termination of Gaussian 09 at Fri Feb  7 20:43:59 2025.
