 Stripped Gaussian log fixture — Sofia example.
 Original file: CoI_Corrin_S1_GEOM.log
 Contains only: route, charge/multiplicity, last 'Standard orientation' block, termination.
 The full DFT output (SCF iterations, gradients, energies) has been removed.

 ----------------------------------------------------------------------
 # opt b3lyp scrf=(cpcm,solvent=water) def2svp empiricaldispersion=gd3 
 scf=maxcycle=500
 ----------------------------------------------------------------------
 1/14=-1,18=20,19=15,26=3,38=1/1,3;
 2/9=110,12=2,17=6,18=5,40=1/2;
 ----------------------------------------------------------------------
 Charge =  0 Multiplicity = 1

                          Standard orientation:                         
 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1         27           0        0.036839   -0.000032    0.000050
      2          7           0       -1.345844    1.221603   -0.160294
      3          7           0        1.334817    1.407982    0.013274
      4          7           0        1.334648   -1.408089   -0.013348
      5          7           0       -1.345970   -1.221458    0.160502
      6          6           0       -2.693493    0.661382   -0.376590
      7          6           0       -3.645365    1.789751    0.042511
      8          6           0       -2.809964    3.052842   -0.256186
      9          6           0       -1.393172    2.533293   -0.117980
     10          6           0       -0.215364    3.313653    0.019986
     11          6           0        1.042375    2.760831    0.083191
     12          6           0        2.306838    3.573477    0.279986
     13          6           0        3.422306    2.557162    0.002718
     14          6           0        2.681948    1.236648    0.018794
     15          6           0        3.321449   -0.000156   -0.000042
     16          6           0        2.681810   -1.236888   -0.018855
     17          6           0        3.422067   -2.557450   -0.002835
     18          6           0        2.306461   -3.573719   -0.279900
     19          6           0        1.042103   -2.760921   -0.083180
     20          6           0       -0.215691   -3.313622   -0.019943
     21          6           0       -1.393415   -2.533154    0.118067
     22          6           0       -2.810271   -3.052572    0.256082
     23          6           0       -3.645502   -1.789390   -0.042685
     24          6           0       -2.693605   -0.661120    0.376621
     25          1           0       -3.017920    3.897695    0.417979
     26          1           0        4.241059    2.582715    0.737529
     27          1           0        2.334445   -4.458949    0.372254
     28          1           0       -3.846599   -1.719467   -1.124570
     29          1           0       -2.802461   -0.441441    1.456507
     30          1           0       -4.608261   -1.763058    0.486724
     31          1           0       -2.802185    0.441664   -1.456485
     32          1           0       -2.977711    3.414525   -1.287513
     33          1           0        3.880224    2.712823   -0.990178
     34          1           0        2.345645   -3.940483   -1.320231
     35          1           0       -0.308765    4.399354    0.085204
     36          1           0       -0.309212   -4.399312   -0.085171
     37          1           0        4.240634   -2.583031   -0.737857
     38          1           0        3.880230   -2.713109    0.989942
     39          1           0        4.413733   -0.000204   -0.000020
     40          1           0        2.334896    4.458844   -0.371973
     41          1           0        2.346095    3.939999    1.320407
     42          1           0       -4.608021    1.763484   -0.487093
     43          1           0       -3.846709    1.719892    1.124354
     44          1           0       -3.018264   -3.897424   -0.418074
     45          1           0       -2.978164   -3.414190    1.287410
 ---------------------------------------------------------------------

 Normal termination of Gaussian 09 at Fri Jul 12 17:58:11 2024.
