 Stripped Gaussian log fixture — Sofia example.
 Original file: Fe2corrinOH.log
 Contains only: route, charge/multiplicity, last 'Standard orientation' block, termination.
 The full DFT output (SCF iterations, gradients, energies) has been removed.

 ----------------------------------------------------------------------
 # opt freq ub3lyp scrf=(cpcm,solvent=water) pop=full def2svp empirical
 dispersion=gd3 scf=maxcycle=500
 ----------------------------------------------------------------------
 1/14=-1,18=20,19=15,26=3,38=1/1,3;
 2/9=110,12=2,17=6,18=5,40=1/2;
 ----------------------------------------------------------------------
 Charge =  0 Multiplicity = 2

                          Standard orientation:                         
 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1         26           0        0.255718    0.054617    0.000383
      2          7           0        1.665557   -1.179652    0.102016
      3          7           0        1.509830    1.568085    0.069349
      4          7           0       -1.294257    1.169089   -0.107313
      5          7           0       -0.784379   -1.546978   -0.217832
      6          6           0        1.318459   -2.603190    0.226946
      7          6           0        2.559478   -3.336174   -0.304142
      8          6           0        3.697526   -2.364989    0.080267
      9          6           0        2.994907   -1.019106    0.059246
     10          6           0        3.592745    0.248474    0.019635
     11          6           0        2.874592    1.448321    0.031031
     12          6           0        3.509593    2.824293   -0.077851
     13          6           0        2.344246    3.770728    0.263536
     14          6           0        1.128989    2.876404    0.104063
     15          6           0       -0.191349    3.333417    0.047904
     16          6           0       -1.322440    2.520385   -0.073467
     17          6           0       -2.734007    3.049215   -0.220972
     18          6           0       -3.567710    1.812642    0.123208
     19          6           0       -2.013889   -1.781216    0.051608
     20          6           0       -2.365797   -3.243838    0.019224
     21          6           0       -0.972267   -3.917620   -0.010872
     22          6           0       -0.027579   -2.790770   -0.481336
     23          1           0        4.564956   -2.408573   -0.596515
     24          1           0        2.297177    4.669719   -0.369425
     25          1           0       -4.550448    1.767944   -0.369117
     26          1           0       -0.690089   -4.236004    1.005079
     27          1           0        0.151010   -2.829624   -1.570633
     28          1           0       -0.935703   -4.800833   -0.662359
     29          1           0        1.169253   -2.845641    1.299774
     30          1           0        4.072117   -2.585013    1.097764
     31          1           0        2.407873    4.120756    1.311189
     32          1           0       -3.719258    1.751387    1.211084
     33          1           0        4.682163    0.310821   -0.033532
     34          1           0       -2.935746    3.921174    0.419279
     35          1           0       -2.910619    3.359679   -1.266416
     36          1           0       -0.348239    4.413993    0.088390
     37          1           0        4.385007    2.940535    0.578799
     38          1           0        3.863891    2.985764   -1.113269
     39          1           0        2.682495   -4.346953    0.111102
     40          1           0        2.492359   -3.421294   -1.401832
     41          1           0       -2.987315   -3.531952    0.880973
     42          1           0       -2.961770   -3.449975   -0.888699
     43          6           0       -2.948073   -0.659587    0.435589
     44          1           0       -3.972073   -0.959466    0.149894
     45          8           0       -2.848579   -0.525749    1.848308
     46          1           0       -3.734851   -0.403045    2.212510
     47          6           0       -2.644929    0.660291   -0.318143
     48          8           0       -2.780972    0.393487   -1.720414
     49          1           0       -3.706677    0.174766   -1.903544
 ---------------------------------------------------------------------

 Normal termination of Gaussian 09 at Fri Dec  6 18:19:47 2024.
