 Stripped Gaussian log fixture — Sofia example.
 Original file: Ni4corrinOH.log
 Contains only: route, charge/multiplicity, last 'Standard orientation' block, termination.
 The full DFT output (SCF iterations, gradients, energies) has been removed.

 ----------------------------------------------------------------------
 # opt freq ub3lyp scrf=(cpcm,solvent=water) pop=full def2svp empirical
 dispersion=gd3 scf=maxcycle=500
 ----------------------------------------------------------------------
 1/14=-1,18=20,19=15,26=3,38=1/1,3;
 2/9=110,12=2,17=6,18=5,40=1/2;
 ----------------------------------------------------------------------
 Charge =  0 Multiplicity = 4

                          Standard orientation:                         
 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1         28           0        0.273320    0.080625   -0.388792
      2          7           0        1.452573   -1.356767    0.150754
      3          7           0        1.709523    1.441483   -0.074646
      4          7           0       -1.187806    1.306577   -0.037253
      5          7           0       -1.015999   -1.509709   -0.567391
      6          6           0        0.924239   -2.709774    0.252486
      7          6           0        2.123768   -3.610499   -0.107124
      8          6           0        3.331652   -2.749894    0.322879
      9          6           0        2.798306   -1.331946    0.184223
     10          6           0        3.563369   -0.163576    0.123557
     11          6           0        3.027848    1.143866    0.043761
     12          6           0        3.839632    2.429283    0.091004
     13          6           0        2.761117    3.522571    0.284471
     14          6           0        1.459637    2.773481    0.046812
     15          6           0        0.167044    3.348545    0.076853
     16          6           0       -1.044272    2.663081    0.019340
     17          6           0       -2.408863    3.328544   -0.025043
     18          6           0       -3.346963    2.166075    0.327981
     19          6           0       -2.144736   -1.593840    0.024150
     20          6           0       -2.514338   -2.997622    0.438263
     21          6           0       -1.401268   -3.851609   -0.214046
     22          6           0       -0.334149   -2.816497   -0.645455
     23          1           0        4.239951   -2.930149   -0.272217
     24          1           0        2.883087    4.379780   -0.397339
     25          1           0       -4.357264    2.249622   -0.099670
     26          1           0       -0.989724   -4.605157    0.472983
     27          1           0        0.002052   -2.958012   -1.685685
     28          1           0       -1.791544   -4.384540   -1.092646
     29          1           0        0.597797   -2.908084    1.296899
     30          1           0        3.593912   -2.943685    1.379596
     31          1           0        2.779969    3.935915    1.310257
     32          1           0       -3.436037    2.064457    1.419754
     33          1           0        4.650655   -0.260169    0.168903
     34          1           0       -2.488168    4.192848    0.651697
     35          1           0       -2.615724    3.689752   -1.048255
     36          1           0        0.116172    4.437295    0.163568
     37          1           0        4.599233    2.417206    0.888465
     38          1           0        4.386622    2.563368   -0.860791
     39          1           0        2.092087   -4.597525    0.376729
     40          1           0        2.146378   -3.767181   -1.198677
     41          1           0       -2.513245   -3.039244    1.540121
     42          1           0       -3.532530   -3.264031    0.112966
     43          6           0       -2.956841   -0.386412    0.458846
     44          1           0       -4.010984   -0.591292    0.196376
     45          8           0       -2.806719   -0.327123    1.873767
     46          1           0       -3.679660   -0.242183    2.277586
     47          6           0       -2.570685    0.951117   -0.224561
     48          8           0       -2.808413    0.797029   -1.636945
     49          1           0       -3.759956    0.683809   -1.779651
 ---------------------------------------------------------------------

 Normal termination of Gaussian 09 at Fri Dec  6 21:44:41 2024.
