 Stripped Gaussian log fixture — Sofia example.
 Original file: Fe2_Pro.log
 Contains only: route, charge/multiplicity, last 'Standard orientation' block, termination.
 The full DFT output (SCF iterations, gradients, energies) has been removed.

 ----------------------------------------------------------------------
 # opt b3lyp scrf=(cpcm,solvent=water) pop=full def2svp empiricaldisper
 sion=gd3 scf=maxcycle=500
 ----------------------------------------------------------------------
 1/14=-1,18=20,19=15,26=3,38=1/1,3;
 2/9=110,12=2,17=6,18=5,40=1/2;
 ----------------------------------------------------------------------
 Charge =  0 Multiplicity = 1

                          Standard orientation:                         
 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          7           0        0.728281   -1.876175    0.000113
      2          7           0       -1.876317   -0.728207    0.000026
      3          7           0        1.876315    0.728207   -0.000154
      4          6           0        3.137710   -1.382864   -0.001278
      5          6           0       -1.382839   -3.137587    0.001399
      6          6           0       -3.137710    1.382862   -0.001335
      7          6           0        1.382830    3.137595    0.001167
      8          6           0        2.051448   -2.253876   -0.000698
      9          6           0       -2.253922   -2.051372    0.000787
     10          6           0       -2.051423    2.253867   -0.000728
     11          6           0        2.253917    2.051372    0.000631
     12          6           0        2.166510   -3.695804   -0.000492
     13          6           0       -3.695850   -2.166525    0.000414
     14          6           0       -2.166518    3.695803   -0.000214
     15          6           0        3.695836    2.166531    0.000533
     16          6           0        0.894297   -4.189564    0.000597
     17          6           0       -4.189680   -0.894334   -0.000693
     18          6           0       -0.894312    4.189579    0.000716
     19          6           0        4.189673    0.894334   -0.000547
     20          6           0        0.006449   -3.047502    0.000866
     21          6           0       -3.047675   -0.006425   -0.000857
     22          6           0       -0.006445    3.047537    0.000707
     23          6           0        3.047675    0.006432   -0.000800
     24          7           0       -0.728287    1.876186   -0.000180
     25         26           0        0.000012   -0.000018   -0.000010
     26          1           0        4.136886   -1.822840   -0.001902
     27          1           0       -1.822749   -4.136790    0.002032
     28          1           0       -4.136878    1.822853   -0.001934
     29          1           0        1.822762    4.136790    0.001822
     30          1           0        3.109024   -4.241997   -0.001044
     31          1           0       -5.228717   -0.567172   -0.001326
     32          1           0        5.228709    0.567173   -0.001039
     33          1           0       -4.242034   -3.109045    0.000912
     34          1           0       -3.109041    4.241980   -0.000508
     35          1           0        4.242012    3.109054    0.001125
     36          1           0        0.567039   -5.228570    0.001105
     37          1           0       -0.567072    5.228592    0.001334
 ---------------------------------------------------------------------

 Normal termination of Gaussian 09 at Mon Nov 18 22:06:50 2024.
